instrument,Year,distance_to_default,probability_of_default
BUSE.OQ,2017,51.381548827731415,0.0
BUSE.OQ,2018,39.86841233528329,0.0
BUSE.OQ,2019,42.16902032584078,0.0
BUSE.OQ,2020,23.632594728583474,9.015682084161204e-124
BUSE.OQ,2021,39.523876638831,0.0
BUSE.OQ,2022,28.984489256275378,2.2455892487070913e-172
BUSE.OQ,2023,28.783968569240344,1.7025091838601293e-182
BWFG.OQ,2018,71.90332875626392,0.0
BWFG.OQ,2019,52.5710361054935,0.0
BWFG.OQ,2020,11.180782555334343,8.228824433745853e-29
BWFG.OQ,2021,33.26932147041858,5.364624500819233e-243
BWFG.OQ,2022,36.87197935985664,5.3237426984927664e-278
BWFG.OQ,2023,25.86652516519669,7.930011205833077e-148
CAC.OQ,2017,33.821829086663165,4.710903483067174e-251
CAC.OQ,2018,38.74187858462568,0.0
CAC.OQ,2019,35.083775096763944,5.9586830404006414e-270
CAC.OQ,2020,22.04255735279904,3.6758788748077e-104
CAC.OQ,2021,38.52370939968513,0.0
CAC.OQ,2022,62.84414844676287,0.0
CADE.N,2019,30.47897623389049,2.475181138797692e-204
CADE.N,2020,21.27101582315754,1.0533443807609526e-100
CADE.N,2021,32.42872137822533,5.063762401564178e-216
CADE.N,2022,23.857935515151503,1.855952379917446e-120
CATY.OQ,2016,31.551557541050794,8.535041639424037e-219
CATY.OQ,2017,39.65979972057262,0.0
CATY.OQ,2018,35.60251872129321,1.5513727231011535e-267
CATY.OQ,2019,30.35516031166666,1.073927634395238e-202
CATY.OQ,2020,20.441728502099984,3.558665951049857e-93
CATY.OQ,2021,61.553762447005525,0.0
CATY.OQ,2022,28.786557284513552,1.580113353821941e-182
CATY.OQ,2023,22.580091364493267,3.400401660905777e-113
CBAN.N,2018,38.85973682626018,0.0
CBAN.N,2019,68.1622719161928,0.0
CBAN.N,2020,25.06543171778374,3.6191062791278106e-137
CBAN.N,2021,39.79635905480856,0.0
CBAN.N,2022,41.79618543972513,0.0
CBFV.OQ,2018,46.26415419379453,0.0
CBFV.OQ,2019,41.064436633270304,0.0
CBFV.OQ,2020,15.645661327044689,1.7782762032358193e-55
CBFV.OQ,2021,41.64822960230897,0.0
CBFV.OQ,2022,62.43812021922002,0.0
CBFV.OQ,2023,32.012384472248485,3.666477200883225e-225
CBSH.OQ,2016,46.63318646124469,0.0
CBSH.OQ,2017,60.05956605039364,0.0
CBSH.OQ,2018,41.75036823536526,0.0
CBSH.OQ,2019,44.77066487519038,0.0
CBSH.OQ,2020,22.927516204851727,2.889809661982236e-113
CBSH.OQ,2021,48.495954423481706,0.0
CBSH.OQ,2022,50.991440446109216,0.0
CBSH.OQ,2023,26.601175336145314,1.9185810645693253e-153
CBU.N,2016,42.59108560762383,0.0
CBU.N,2017,49.46507671881446,0.0
CBU.N,2018,37.95690031503118,0.0
CBU.N,2019,38.78156414401913,0.0
CBU.N,2020,41.99628982654897,0.0
CBU.N,2021,45.44721289221408,0.0
CBU.N,2022,43.64877212571683,0.0
CBU.N,2023,24.575350446577133,1.0014105165595866e-129
CCBG.OQ,2017,37.94359449122321,0.0
CCBG.OQ,2018,34.23299252209689,5.8664121571935444e-251
CCBG.OQ,2019,43.400023741446205,0.0
CCBG.OQ,2020,22.719530903012394,2.3813782166159e-114
CCBG.OQ,2021,43.0329900861622,0.0
CCBG.OQ,2022,37.146353560989354,5.095572191414378e-292
CCBG.OQ,2023,33.357069556572455,2.876611435312003e-244
CCNE.OQ,2017,27.33682061904013,7.745815776381658e-165
CCNE.OQ,2018,32.40524058984782,1.1578372463805688e-230
CCNE.OQ,2019,28.35674530826568,2.8088524298138544e-175
CCNE.OQ,2020,23.11506254290041,2.4922396186398333e-118
CCNE.OQ,2021,54.332089330842635,0.0
CCNE.OQ,2022,37.05178967940336,8.402854602675882e-301
CCNE.OQ,2023,28.70416689208728,9.20905782871206e-173
CFFI.OQ,2018,20.798216251719133,3.468166899751879e-88
CFFI.OQ,2019,28.92465360287104,1.0950990316879429e-183
CFFI.OQ,2020,23.042996834482395,1.7902175494987277e-109
CFFI.OQ,2021,34.63091966946865,2.1474209746988344e-255
CFFI.OQ,2022,41.26139055012031,0.0
CFG.N,2016,17.424429660406396,2.793795446469407e-68
CFG.N,2017,32.535389742094964,3.835870166452184e-222
CFG.N,2018,28.162092778126272,8.520577782339966e-175
CFG.N,2019,25.344906029931384,1.488943790316622e-141
CFG.N,2020,12.387456009577988,1.5279214270684369e-35
CFG.N,2021,32.54466619701374,1.615399853811115e-226
CFG.N,2022,20.893625963080446,1.62634333033658e-94
CFR.N,2016,23.911417943079137,1.1650123186242914e-126
CFR.N,2017,40.201750009254,0.0
CFR.N,2018,29.502000478336615,2.1932467502418254e-187
CFR.N,2019,29.03489635959756,1.1936540447560947e-185
CFR.N,2020,14.677267541289757,4.50753545916917e-49
CFR.N,2021,34.18371829330775,2.1105396696704952e-256
CFR.N,2022,26.136842600002907,7.844847143272497e-151
CHCO.OQ,2017,33.912399511966456,2.1867932738023376e-252
CHCO.OQ,2018,39.62523694706758,0.0
CHCO.OQ,2019,43.19825562457986,0.0
CHCO.OQ,2020,34.32269117474845,1.0787251497785264e-248
CHCO.OQ,2021,45.804020300863286,0.0
CHCO.OQ,2022,39.72112268785242,0.0
CHCO.OQ,2023,31.74035994859058,1.3286766632676442e-215
CHMG.OQ,2018,45.87922265285589,0.0
CHMG.OQ,2019,43.99455710425829,0.0
CHMG.OQ,2020,27.455847641890898,3.3424667206572986e-157
CHMG.OQ,2021,42.61790439783522,0.0
CHMG.OQ,2022,34.936807618457074,5.31632655294295e-264
CHMG.OQ,2023,26.330151030270603,4.331881986733216e-153
CIVB.OQ,2018,28.26315284501513,2.8730816720191316e-163
CIVB.OQ,2019,38.28291052170601,3.517896991682812e-297
CIVB.OQ,2020,19.032708123268975,3.0074070214116835e-76
CIVB.OQ,2021,34.31496617993322,2.3484587576049048e-258
CIVB.OQ,2022,29.054768391753043,1.3322218989786314e-177
CIVB.OQ,2023,21.4629475151416,2.1875719389586133e-93
CMA.N,2016,19.55703763008756,1.796788811163825e-85
CMA.N,2017,42.51039518576196,0.0
CMA.N,2018,29.16466195715111,2.9564501781430313e-157
CMA.N,2019,19.372812223161517,7.544945669667551e-84
CMA.N,2020,9.815092925908994,8.167093759563655e-22
CMA.N,2021,33.08786600333615,2.221022115136532e-240
CMA.N,2022,27.078674861249283,1.7967939257650648e-159
CMA.N,2023,10.697591792730144,5.2228857161355775e-27
CNOB.OQ,2017,41.21873563784743,0.0
CNOB.OQ,2018,41.1840948262341,0.0
CNOB.OQ,2019,34.96150916433893,4.3285849558510044e-268
CNOB.OQ,2020,15.221087445257371,2.966470599701485e-52
CNOB.OQ,2021,44.98970109397826,0.0
CNOB.OQ,2022,30.487463403620314,4.58811141210487e-191
CNOB.OQ,2023,15.54055238876559,9.219361579156555e-55
COLB.OQ,2016,42.733416250208045,0.0
COLB.OQ,2017,45.634657764025405,0.0
COLB.OQ,2018,47.13278762929612,0.0
COLB.OQ,2019,31.210397951665126,1.0544266823189525e-204
COLB.OQ,2020,27.101078297824667,6.315559017095593e-160
COLB.OQ,2021,43.11850799694098,0.0
COLB.OQ,2022,29.862256735522486,2.76313489958756e-193
COLB.OQ,2023,18.9810760291986,1.2226812594768182e-80
CPF.N,2017,51.48568855097248,0.0
CPF.N,2018,41.285319459733714,0.0
CPF.N,2019,36.15597843792932,7.604839320684818e-284
CPF.N,2020,18.810258101565275,5.420372784204208e-76
CPF.N,2021,42.141783780612826,0.0
CPF.N,2022,38.133656594225066,0.0
CPF.N,2023,24.803647441239377,4.094158997088581e-136
CTBI.OQ,2017,45.40271644078135,0.0
CTBI.OQ,2018,33.89164245141798,8.610884358660022e-222
CTBI.OQ,2019,42.086721408652096,0.0
CUBI.N,2017,24.13721029404215,5.086623764598831e-129
CUBI.N,2018,27.780233352812616,6.525727730644971e-144
CUBI.N,2019,19.305400501602268,2.4189406015732645e-83
CUBI.N,2020,7.984019902415309,1.1410304046763142e-14
CUBI.N,2021,28.352065559289244,3.9466697305433595e-177
CUBI.N,2022,19.71515717467871,7.990946286264432e-87
CVBF.OQ,2016,31.768205687718385,8.900001201102207e-222
CVBF.OQ,2017,40.92607214304829,0.0
CVBF.OQ,2018,46.78052094455761,0.0
CVBF.OQ,2019,54.05498766181081,0.0
CVBF.OQ,2020,42.17859662950475,0.0
CVBF.OQ,2021,42.53175312115854,0.0
CVBF.OQ,2022,40.76915400650974,0.0
CVBF.OQ,2023,13.93795067425248,3.50346119076669e-44
CZNC.OQ,2018,62.164110963902246,0.0
CZNC.OQ,2019,39.2999400949525,0.0
CZNC.OQ,2020,29.226993109061624,4.4027788185813394e-188
CZNC.OQ,2021,51.148207934728774,0.0
CZNC.OQ,2022,69.14932961702962,0.0
CZNC.OQ,2023,26.7918201339868,2.012158785556779e-158
DCOM.OQ,2017,46.700911849909474,0.0
DCOM.OQ,2018,38.36885659680364,3.742335528269485e-237
DCOM.OQ,2019,27.3045172213643,3.354403338169012e-161
DCOM.OQ,2020,19.92820499458208,9.066011941620694e-87
DCOM.OQ,2021,40.453352552783024,0.0
DCOM.OQ,2022,24.9642976837182,1.125497180872666e-112
DFS.N,2016,20.734113428814055,2.3092793854233917e-95
DFS.N,2017,30.45280906416664,2.1742421217783702e-203
DFS.N,2018,22.53851861465488,8.70224947134347e-113
DFS.N,2019,22.13493384322904,7.28633526165413e-109
DFS.N,2020,9.13501067683786,5.093600954096612e-20
DFS.N,2021,23.178599715840303,8.750113897958909e-111
DFS.N,2022,19.377071308587155,6.025658305535232e-84
DFS.N,2023,17.717151415839055,1.5458854954957167e-70
EBMT.OQ,2018,50.22553862559917,0.0
EBMT.OQ,2019,39.83821027381866,0.0
EBMT.OQ,2022,52.85674665767051,0.0
EBTC.OQ,2017,26.475449679685603,9.294227885770167e-155
EBTC.OQ,2018,36.94237984737903,4.826874117280141e-299
EBTC.OQ,2019,33.68018903224976,4.636988245091637e-246
EBTC.OQ,2020,33.17275393804522,5.16190203788954e-221
EBTC.OQ,2021,45.9087747608727,0.0
EBTC.OQ,2022,35.5338043159512,3.1733461899906865e-235
EBTC.OQ,2023,30.18365406483115,1.9409907837398653e-200
EFSC.OQ,2017,49.60646937402841,0.0
EFSC.OQ,2018,26.06047429792264,5.118074410277853e-150
EFSC.OQ,2019,31.17934255000597,1.0153197190619405e-213
EFSC.OQ,2020,18.903223001987115,3.906277445495591e-79
EFSC.OQ,2021,26.727536992356235,9.307788889864625e-149
EFSC.OQ,2022,28.353163146586763,8.032278067203177e-159
EFSC.OQ,2023,27.37679289493979,2.59135706924109e-165
EGBN.OQ,2020,19.01557542994253,6.336930153658642e-81
EGBN.OQ,2021,48.582403624358726,0.0
EGBN.OQ,2022,38.866889537929644,0.0
EGBN.OQ,2023,12.144854854812325,3.054545364050364e-34
EVBN.A,2018,32.57540377716671,4.574168052060102e-233
EVBN.A,2019,52.72127554946822,0.0
EVBN.A,2020,13.350654539552409,1.022570333199761e-39
EVBN.A,2021,60.21316483380309,0.0
EVBN.A,2022,37.30340963793556,7.224857054583739e-305
EVBN.A,2023,18.33116525674209,2.333984485998621e-75
EWBC.OQ,2016,22.35345091458891,3.4241783130460983e-110
EWBC.OQ,2017,65.84237963669737,0.0
EWBC.OQ,2018,32.65273358643651,2.6798484731677897e-224
EWBC.OQ,2019,24.073766948418935,5.823313309521503e-128
EWBC.OQ,2020,14.844207878587792,1.9190222264684132e-48
EWBC.OQ,2021,35.39965166237833,4.926153781718219e-274
EWBC.OQ,2022,34.95938372113689,3.843815222596624e-248
FBIZ.OQ,2018,30.664091924488012,1.6803299109957492e-197
FBIZ.OQ,2019,34.18113576027153,2.305497186146938e-256
FBIZ.OQ,2020,14.139151996924406,1.536751207992813e-45
FBIZ.OQ,2021,39.709423194820374,0.0
FBIZ.OQ,2022,26.945150878341263,3.250869324392368e-160
FBIZ.OQ,2023,24.099067674750938,1.278304132593183e-128
FBNC.OQ,2017,38.71969449867383,7.391409227670796e-302
FBNC.OQ,2018,28.331378329500964,7.098701974287505e-177
FBNC.OQ,2019,36.74324059288387,7.453552336269738e-296
FBNC.OQ,2020,20.39872405936972,8.581787156662935e-93
FBNC.OQ,2021,38.99741113560955,0.0
FBNC.OQ,2022,26.65587351231318,8.993920177864798e-134
FBNC.OQ,2023,24.526699160013496,3.8342552253931504e-133
FCBC.OQ,2019,75.81821171287365,0.0
FCBC.OQ,2020,50.50988789889274,0.0
FCBC.OQ,2021,53.70243014332982,0.0
FCBC.OQ,2022,53.423090124875785,0.0
FCBC.OQ,2023,37.58707902031561,4.98667031299774e-307
FCCO.OQ,2018,32.792868781811116,1.5723920988908293e-200
FCCO.OQ,2019,49.38154408770902,0.0
FCCO.OQ,2020,25.43612165260653,1.466608907267777e-134
FCCO.OQ,2021,48.07707123535489,0.0
FCCO.OQ,2022,41.37647221109097,0.0
FCCO.OQ,2023,20.050968874199206,9.897616173987176e-90
FCF.N,2017,49.14447345491156,0.0
FCF.N,2018,30.607021701490453,1.1086719047984906e-203
FCF.N,2019,36.74356389551223,7.36546892996195e-296
FCF.N,2020,24.06647930299087,3.450541030281984e-116
FCF.N,2021,44.33458029572786,0.0
FCF.N,2022,35.05597736304687,1.5807806906400248e-269
FCF.N,2023,24.275162395478283,1.793601038507715e-130
FCNCA.OQ,2016,23.52046216732641,1.2594841457096735e-122
FCNCA.OQ,2017,27.136763916190496,1.265248646375681e-151
FCNCA.OQ,2018,21.020573380694703,2.126326487987734e-98
FCNCA.OQ,2019,31.80074109087337,3.161065475800755e-222
FCNCA.OQ,2020,9.924794317320767,1.6238581222176438e-23
FCNCA.OQ,2021,19.87504715567915,1.1533453021617232e-71
FCNCA.OQ,2022,16.80318903401609,1.1563423342134512e-63
FFBC.OQ,2016,31.01042925787859,1.9499309091053913e-211
FFBC.OQ,2017,36.63956073996455,7.542195051576035e-290
FFBC.OQ,2018,30.020673029197294,9.363113187302164e-194
FFBC.OQ,2019,28.08637573809614,2.2572933527339755e-171
FFBC.OQ,2020,18.011674992107803,1.85918426160819e-67
FFBC.OQ,2021,35.499878855778704,2.5686812574175118e-276
FFBC.OQ,2022,22.740277300736693,8.954705029465404e-115
FFBC.OQ,2023,26.603545832158986,3.088106341598453e-156
FFIC.OQ,2017,32.86535012590838,2.0162635962446883e-215
FFIC.OQ,2018,44.79009129412935,0.0
FFIC.OQ,2019,37.62865873549226,3.65461299716125e-310
FFIC.OQ,2020,16.490476155916188,2.147754922080696e-61
FFIC.OQ,2021,36.56849797034965,4.531433086513698e-293
FFIC.OQ,2022,39.04692860150327,5.967743985632192e-277
FFIC.OQ,2023,16.26508301328471,8.731513982771424e-60
FFIN.OQ,2016,35.940840867451456,2.7928381025032946e-273
FFIN.OQ,2017,37.73902081576217,0.0
FFIN.OQ,2018,43.21686249802536,0.0
FFIN.OQ,2019,42.337547920372,0.0
FFIN.OQ,2020,34.78857610798564,1.8102838578125688e-265
FFIN.OQ,2021,45.50885887289168,0.0
FFIN.OQ,2022,40.83876567016903,0.0
FFIN.OQ,2023,27.16596398874155,9.7227355521718e-162
FGBI.OQ,2018,53.600728928714645,0.0
FGBI.OQ,2019,31.85460384476404,2.073700199798029e-222
FGBI.OQ,2020,22.23166090692954,8.48684882686772e-110
FGBI.OQ,2021,45.599368553851015,0.0
FGBI.OQ,2022,21.12986259952171,2.113878106021964e-99
FHN.N,2016,31.775349198965955,7.344810929134835e-222
FHN.N,2017,47.291813276632645,0.0
