instrument,year,beta_mkt,beta_smb,beta_hml,n_obs
ATLO.OQ,2021,0.006412472651059398,-0.005974419686329488,0.005901438135878011,12
ATLO.OQ,2022,-0.0008636442077097155,0.0012317309308164798,0.0022545278672373437,12
ATLO.OQ,2023,0.0033761392389416193,0.01503419075318921,0.002355789296413273,12
AUBN.OQ,2016,0.01866430645296068,-0.014034324421137872,0.004173272475873549,12
AUBN.OQ,2017,-0.003283406733451638,0.0036494139696052327,-0.009100140410317271,12
AUBN.OQ,2018,0.0062918265177632875,0.026567914901882303,0.028527046480963415,12
AUBN.OQ,2019,-0.00012589962415109936,-0.00844143694104137,0.008428941808115308,12
AUBN.OQ,2020,0.009606183227702033,0.035076342296995425,-0.007399810591366851,12
AUBN.OQ,2021,-0.0032886632763020557,-0.002358675856493449,0.004250207436059372,12
AUBN.OQ,2022,0.0018354837199548706,0.005394170441925895,0.009063152303759278,12
AUBN.OQ,2023,9.638595609757702e-05,0.00837373638929353,-0.007034599141081744,12
BAC.N,2016,0.01961983096539227,0.005548085714303346,0.02386468093814361,12
BAC.N,2017,0.021267015280826793,0.0018693802917748642,0.004434504385578253,12
BAC.N,2018,0.015790330096262652,-0.0017800234623641577,0.00984964567170645,12
BAC.N,2019,0.016168073414227668,0.007087224791649228,0.007896374401188028,12
BAC.N,2020,0.014376862647335016,0.006910649334914226,0.00878868113528779,12
BAC.N,2021,0.018595399747607218,0.003202748952054772,0.010959641460247527,12
BAC.N,2022,0.010259882165449017,0.01604331953272517,0.017001195155269627,12
BAC.N,2023,0.010200136611024344,0.01065784734137152,0.00461017397188155,12
BANC.N,2016,0.01924598779184241,0.006893445062337826,0.008520771803622611,12
BANC.N,2017,0.0771715291186129,0.039223377288041865,-0.029409306455439176,12
BANC.N,2018,0.016099331417723274,0.015465271732227821,0.013301663324062697,12
BANC.N,2019,0.004084665618710157,0.04025772978876862,0.004670686043197703,12
BANC.N,2020,0.01242293377578376,0.012388371342152088,0.02386295538414192,12
BANC.N,2021,0.009405976967994705,0.01690593659597922,0.0018502464530121727,12
BANC.N,2022,0.0023228799771380986,0.01282839448405194,0.011425896758530715,12
BANC.N,2023,0.0008274755582857295,0.02954829635715952,0.0076967712676074725,12
BANF.OQ,2016,0.0017537920579997757,0.013786375286501791,0.008895402993182432,12
BANF.OQ,2017,0.04250808904772654,0.02724048587244492,-0.016283632555808003,12
BANF.OQ,2018,0.013295072422813666,0.007859981823932764,0.010832946511559367,12
BANF.OQ,2019,0.007917822689312426,0.01194507069207283,0.006616072182686797,12
BANF.OQ,2020,0.0127382803726648,0.007107534482583932,0.0200523462184804,12
