instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered
HAFC.OQ,2017-12-31,0.170361557,0.178361557,0.161696524,22.15799615,33.86418729,77.19171814,44.58565543,21.15270351,33.80848029,64.86774744,40.1213953,44.58565543,40.1213953,5210.485,267.27,1.749938005,15.5,5.977330196,0.780203446,31.375235,2.769202103,10.45760872,89.54239128,8.558428221,0.051294649,0.116789473,0.722312617
HAFC.OQ,2018-12-31,-0.331355285,-0.313255285,-0.270944011,21.58687943,31.09499102,59.6835443,36.9091915,22.15799615,33.86418729,77.19171814,44.58565543,36.9091915,44.58565543,5502.219,172.808,1.102651997,14.54,7.78622126,0.917489479,36.80472,3.190071192,12.69027195,87.30972805,8.612906744,0.031406965,0.145347743,0.840305015
HAFC.OQ,2019-12-31,-0.019471177,0.001928823,0.003854947,20.28455285,26.38212385,56.38437865,33.38390974,21.58687943,31.09499102,59.6835443,36.9091915,33.38390974,36.9091915,5538.184,208.377,1.093333147,15.11,7.641937386,1.193617207,36.80472,2.119220853,16.80201548,83.19798452,8.619421928,0.03762551,0.201952194,1.058523885
HAFC.OQ,2020-12-31,-0.340154677,-0.335754677,-0.223624823,23.18875826,36.59847701,71.8015816,44.60487262,20.28455285,26.38212385,56.38437865,33.38390974,44.60487262,33.38390974,6201.888,268.972,0.603663237,15.21,6.712016433,1.322069268,36.80472,2.275562816,32.02473407,67.97526593,8.732609041,0.043369374,0.471123336,1.01875706
FMBH.OQ,2017-12-31,0.165661867,0.173661867,0.130868434,22.15799615,25.05132125,4.89704873,14.18839288,21.15270351,30.57694416,4.395620023,16.74858751,14.18839288,16.74858751,2841.539,249.739,1.571641405,12.7,2.362669994,0.032878265,37.44285,1.762660245,26.31253352,73.68746648,7.952101086,0.087888641,0.35708289,0.026874921
FMBH.OQ,2018-12-31,-0.208106935,-0.190006935,-0.147807922,21.58687943,27.44022095,4.116144792,15.09216171,22.15799615,25.05132125,4.89704873,14.18839288,15.09216171,14.18839288,3839.734,348.799,1.116488638,13.63,5.148615665,0.48903082,35.82588,2.740522137,20.32766574,79.67233426,8.253158372,0.090839365,0.255140833,0.420225463
FMBH.OQ,2019-12-31,0.071590894,0.092990894,0.071340771,20.28455285,21.90292854,4.500689802,12.48410088,21.58687943,27.44022095,4.116144792,15.09216171,12.48410088,15.09216171,3839.426,345.862,1.116084485,15.74,4.021964133,0.519710519,35.34636,1.547714516,26.08940282,73.91059718,8.253078155,0.090081695,0.352985956,0.423141824
FMBH.OQ,2020-12-31,-0.119859591,-0.115459591,-0.077556021,18.99807322,36.36073694,5.377026075,19.97065491,20.28455285,21.90292854,4.500689802,12.48410088,19.97065491,12.48410088,4726.348,414.186,0.991695284,18.82,4.532642423,0.882375917,32.69424,0.894116706,31.2021291,68.7978709,8.46090809,0.087633412,0.453533353,0.676018514
FMBH.OQ,2021-12-31,0.202516335,0.202916335,0.152251164,22.45895173,37.85619547,9.479098165,22.9130077,18.99807322,36.36073694,5.377026075,19.97065491,22.9130077,19.97065491,5986.582,346.309,1.220481919,15.79,1.445937434,0.90671924,24.54386,1.250513676,26.18619741,73.81380259,8.697275911,0.057847533,0.354760174,0.71525407
FMBH.OQ,2022-12-31,-0.004797784,0.009402216,0.01766521,20.8198309,32.53163378,18.36233662,23.47481286,22.45895173,37.85619547,9.479098165,22.9130077,23.47481286,22.9130077,6744.215,800.402,1.036258455,15.2,6.641073449,0.852572199,24.22416,4.431370061,34.17727985,65.82272015,8.816440379,0.118679787,0.519232262,0.611841547
