instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,rf,Year,ticker_prefix,Month,symbol,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
CCBG.OQ,2023-12-31,-0.059708322,-0.010208322,-0.002370671,17.41491575,17.54843959,77.24861668,36.99996443,19.68436486,26.70374176,61.4981378,35.94955973,36.99996443,35.94955973,4304.477,88543.0,1.113413849,16.57,5.65170331,0.544762046,19.88837,4.946907975,15.72600071,84.27399929,8.367410923,0.020569979,0.186605606,0.473915147,0.0495,2023,CCBG,12,CCBG,498845033.46,0.2696410106030421,498929300.28981733,0.26959546949504076,converged,32.08470279491116,3.603362117761305e-226
AROW.OQ,2017-12-31,0.111070856,0.119070856,0.103691442,22.15799615,30.5175293,8.289865019,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.12104594,18.23117591,2760.465,244966.0,1.896079487,15.0,5.013335612,0.619601145,30.08052,1.917215905,14.55477282,85.44522718,7.923154423,0.088740846,0.170340384,0.553659664,0.008000000000000007,2017,AROW,12,AROW,468535590.2864,0.2105834016682264,468778604.3764509,0.21047423556457998,converged,35.8362947822079,1.5033897296041912e-281
AROW.OQ,2018-12-31,-0.161252323,-0.143152323,-0.121649567,21.58687943,22.91036508,11.20253165,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,15.39645247,18.12104594,2988.334,353659.0,1.719592234,14.9,6.05340398,0.622665674,29.7094,2.498989189,13.37919468,86.62080532,8.00247132,0.118346544,0.154457057,0.561684289,0.018100000000000005,2018,AROW,12,AROW,455157045.8032,0.1620625320116693,455504361.15847135,0.1619389617219532,converged,44.250100211659394,0.0
AROW.OQ,2019-12-31,0.053459611,0.074859611,0.064556188,20.28455285,22.51587105,52.38352966,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,30.02594272,15.39645247,3184.275,236353.0,1.878980283,14.8,4.732924173,0.594509045,29.7094,1.725332219,16.42447009,83.57552991,8.065979913,0.074225059,0.196522476,0.522352876,0.02140000000000001,2019,AROW,12,AROW,553437861.392,0.1992651444733296,553669210.1739103,0.19918188221565197,converged,38.96217590788078,0.0
AROW.OQ,2020-12-31,-0.183621121,-0.179221121,-0.141078924,18.99807322,18.95256987,48.17980469,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,26.74520435,30.02594272,3688.636,87703.0,1.38783661,15.5,3.987268628,0.633919553,29.17827,1.183610401,20.3312656,79.6687344,8.213012021,0.02377654,0.255197547,0.536885399,0.004399999999999987,2020,AROW,12,AROW,451056148.114,0.2614839206902719,451143466.068522,0.261433310977908,converged,32.57354943891669,4.859258007543283e-233
AROW.OQ,2021-12-31,0.218330889,0.218730889,0.209345335,17.43215031,17.67301815,44.26701319,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,24.70194175,26.74520435,4027.952,70169.0,1.522470067,15.7,1.543761519,0.662189186,21.27914,2.128484023,4.646882214,95.35311779,8.301013337,0.017420515,0.048733406,0.637723954,0.00040000000000001146,2021,AROW,12,AROW,565115143.0334799,0.1434677752794519,565185283.9714935,0.14344997056245182,converged,62.62889627854831,0.0
AROW.OQ,2022-12-31,0.061807489,0.076007489,0.073899342,15.8938172,25.42706308,46.86126629,29.48187915,17.43215031,17.67301815,44.26701319,24.70194175,29.48187915,24.70194175,3969.509,79919.0,1.587107485,15.1,6.812876327,0.670815154,21.27914,4.313115919,5.012922273,94.98707773,8.286397688,0.020133221,0.052774782,0.644057921,0.014199999999999997,2022,AROW,12,AROW,561100620.940994,0.2672504186066985,561179413.1106246,0.2672128954192564,converged,33.06457550071388,4.801998442063086e-240
FLIC.OQ,2017-12-31,0.116379193,0.124379193,0.081677099,22.15799615,27.95175818,67.3266987,38.10168359,21.15270351,25.90582745,63.24089875,35.61601396,38.10168359,35.61601396,3894.708,704938.0,1.98349306,16.54,4.763830179,0.763563196,21.21324,2.61164518,41.13767483,58.86232517,8.267373988,0.180998935,0.698879542,0.492423003,0.007999999999999993,2017,FLIC,12,FLIC,646365750.0,0.191723894522427,647065070.9939821,0.19151668731795468,converged,35.56741222283292,2.2355948568394422e-277
FLIC.OQ,2018-12-31,-0.225102109,-0.207002109,-0.076045008,21.58687943,28.11262143,63.97845881,36.9761054,22.15799615,27.95175818,67.3266987,38.10168359,36.9761054,38.10168359,4241.06,750950.0,1.306544689,16.48,5.076840358,0.681933773,21.21324,3.567460534,55.70059644,44.29940356,8.352568517,0.177066582,1.257366735,0.342570371,0.018100000000000005,2018,FLIC,12,FLIC,452456025.0,0.1678595650260002,453193505.07555515,0.1675864077911664,converged,38.229787770574475,0.0
FLIC.OQ,2019-12-31,-0.012427962,0.008972038,0.013752466,20.28455285,21.93534376,61.83699459,33.14124856,21.58687943,28.11262143,63.97845881,36.9761054,33.14124856,36.9761054,4097.843,528182.0,1.542709403,16.06,4.086851096,0.654403808,20.93854,2.389044124,48.20878067,51.79121933,8.318216017,0.128892688,0.930829227,0.376976533,0.021400000000000002,2019,FLIC,12,FLIC,568801860.0,0.2243156180178431,569318858.9901834,0.22411191679460135,converged,31.1408783786809,3.3702376431658945e-213
CIVB.OQ,2018-12-31,-0.253564846,-0.235464846,-0.188835292,23.52538211,33.20870928,32.17743726,28.3345416,22.15799615,33.50860488,38.22580645,30.38155834,28.3345416,30.38155834,2138.954,245226.0,0.938794589,16.1,6.927477519,0.772107269,26.30892,2.871431764,15.03929231,81.54830475,7.668072203,0.114647627,0.184421888,0.679730242,0.018100000000000005,2018,CIVB,12,CIVB,270342722.0,0.2166337523170229,270583549.33738375,0.21644094188978258,converged,32.34523266933104,8.094416006299525e-230
CIVB.OQ,2019-12-31,0.016684112,0.038084112,0.034680059,22.06022092,28.48911375,35.86861934,27.29899959,23.52538211,33.20870928,32.17743726,28.3345416,27.29899959,28.3345416,2309.557,274601.0,1.213176205,16.1,6.056207733,0.806462713,26.30892,2.145329682,11.30541744,86.36873704,7.74481101,0.118897693,0.130897103,0.735515285,0.021400000000000002,2019,CIVB,12,CIVB,372458400.0,0.2122154963142276,372727186.9705963,0.2120624600926821,converged,34.00978017121482,7.985206250069853e-254
CIVB.OQ,2020-12-31,-0.234589359,-0.230189359,-0.095215957,21.88863295,25.51978971,32.41216148,24.74243443,22.06022092,28.48911375,35.86861934,27.29899959,24.74243443,27.29899959,2768.862,183341.0,0.79601866,16.0,4.442500302,0.980705597,26.30892,2.48587526,54.31349448,45.68650552,7.926191684,0.06621529,1.188830134,0.522746967,0.004399999999999987,2020,CIVB,12,CIVB,272049823.0,0.4006597974304168,272232359.0717416,0.4003911487447498,converged,18.050616058055713,3.9007836475929844e-73
CIVB.OQ,2021-12-31,0.22360537,0.22400537,0.196764843,20.07635504,19.44333939,31.69409953,21.43453765,21.88863295,25.51978971,32.41216148,24.74243443,21.43453765,24.74243443,3012.905,204230.0,1.027224531,19.2,1.55269066,0.921157064,15.73395,1.802154446,13.04502181,86.95497819,8.010660009,0.067785078,0.150020414,0.817776769,0.00040000000000001146,2021,CIVB,12,CIVB,364882480.0,0.2434656108167776,365086628.3243369,0.24332947026201363,converged,30.65571346113181,1.1088532710371647e-206
CIVB.OQ,2022-12-31,0.064579473,0.078779473,0.067819697,18.32180562,20.14736324,36.7886406,23.58663312,20.07635504,19.44333939,31.69409953,21.43453765,23.58663312,21.43453765,3639.445,643351.0,1.033877672,14.5,6.703041709,0.789972696,14.75306,4.674561638,28.15232829,71.84767171,8.199586476,0.176771733,0.39183355,0.59217184,0.014200000000000004,2022,CIVB,12,CIVB,346178430.34000003,0.2165849303467776,346812710.31251866,0.21618882178565574,converged,29.051830082059414,7.2951547413636364e-186
CIVB.OQ,2023-12-31,-0.022569801,0.026930199,0.033626078,16.18572488,16.09087745,60.90345354,30.22804648,18.32180562,20.14736324,36.7886406,23.58663312,30.22804648,23.58663312,3861.418,454194.0,0.778016297,14.4,6.412210033,0.830291351,14.75306,5.613510999,32.00207372,67.99792628,8.258789753,0.117623629,0.470633083,0.592557216,0.0495,2023,CIVB,12,CIVB,289423618.56,0.3783819370524275,289855877.3325953,0.3778176603740214,converged,17.036635041233154,2.1964525045613908e-65
