instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
BHB.A,2019-12-31,0.02601806,0.04741806,0.041532134,21.29806636,31.99290535,77.10920089,43.77373932,21.58687943,33.78781017,75.47523873,43.92983979,43.77373932,43.92983979,3669.128,531.316,0.996503458,13.61,6.676804502,1.007396834,28.25284,2.012095277,17.84595724,82.15404276,8.207709311,0.144807159,0.217225551,0.871561255,0.0851556988839646,201912,2.77,0.76,1.73,0.14,2.4100916554915295,BHB,2019,12,314699046.74,0.2791781273081093,314699562.35324,0.2791776698942863,converged,47.578310768494184,0.0
BHB.A,2020-12-31,-0.212482541,-0.208082541,-0.114343368,28.80592618,56.38963868,81.98772604,58.89717298,21.29806636,31.99290535,77.10920089,43.77373932,58.89717298,43.77373932,3724.275,336.023,0.827756502,13.56,4.626764763,0.89034974,28.23778,2.378708533,41.63360269,58.36639731,8.222627481,0.090225077,0.713314589,0.588898341,0.060993388338722,202012,4.63,5.01,-1.69,0.01,2.4189928130148233,BHB,2020,12,291881822.18,0.3425134362118813,291882148.2720201,0.3425130535543871,converged,39.8408858565137,0.0
BHB.A,2021-12-31,0.214191929,0.214591929,0.181912396,28.52218556,51.61722315,87.37619824,58.65453912,28.80592618,56.38963868,81.98772604,58.89717298,58.65453912,58.89717298,3709.233,178.524,1.023202918,14.32,1.552434742,0.877017842,20.18439,1.743508997,16.28472378,83.71527622,8.218580396,0.048129627,0.194525116,0.759150991,0.0787746061803706,202112,3.23,-1.62,3.24,0.01,2.3820969431519576,BHB,2021,12,386339187.0,0.3039379232632536,386339360.24781907,0.3039377869670817,converged,47.94176704080695,0.0
BHB.A,2022-12-31,0.061620587,0.075820587,0.06920708,30.1593517,51.94007351,84.02705407,58.06625289,28.52218556,51.61722315,87.37619824,58.65453912,58.06625289,58.65453912,3909.803,394.246,1.228235668,13.5,7.128647903,0.825482426,19.18442,4.433292607,16.5367938,83.4632062,8.271242268,0.100835259,0.198132741,0.71154787,0.0791919366352234,202212,-6.37,-0.76,1.35,0.33,-4.107411644624774,BHB,2022,12,443247416.56,0.2451015671043762,443247799.1542705,0.2451013555422439,converged,56.84434951265901,0.0
BHB.A,2023-12-31,-0.004473506,0.045026494,0.044562123,28.25113014,51.88047291,74.54573226,54.61602944,30.1593517,51.94007351,84.02705407,58.06625289,54.61602944,58.06625289,3970.885,331.505,1.031002169,14.24,6.335741122,0.763659205,19.18442,5.219693541,16.33247757,83.66752243,8.286744271,0.083483908,0.195206899,0.659601987,0.0767152591330677,202312,4.85,6.29,4.89,0.43,3.465493389954671,BHB,2023,12,423528259.96,0.2696606323821142,423528581.6675471,0.2696604275509433,converged,52.11788181542393,0.0
BCBP.OQ,2018-12-31,-0.186877183,-0.168777183,-0.142009913,21.58687943,32.89985547,71.94981124,42.22026036,22.15799615,28.09817446,58.80233356,35.10553462,42.22026036,35.10553462,2674.731,282.377,0.921621824,12.01,5.844790989,0.576865953,39.93828,3.0318904,14.31502522,85.68497478,7.891604094,0.105572112,0.167065757,0.524260326,0.0629123876763715,201812,-9.55,-2.33,-1.94,0.19,-4.555036886490061,BCBP,2018,12,130229808.8,0.1747626996857187,130230082.83149944,0.1747623319482674,converged,74.7088870499369,0.0
BCBP.OQ,2019-12-31,0.036773005,0.058173005,0.051299576,20.28455285,22.92548168,65.4897591,34.94735219,21.58687943,32.89985547,71.94981124,42.22026036,34.94735219,42.22026036,2907.468,282.61,1.126365929,13.84,5.92031936,0.818864123,39.81596,1.955839266,14.81279418,85.18720582,7.975037878,0.097201414,0.173885198,0.741287539,0.0761295029296607,201912,2.77,0.76,1.73,0.14,2.05326758711626,BCBP,2019,12,179330291.14000002,0.2390129896794331,179330565.39761323,0.2390126241470774,converged,55.90545716928837,0.0
ACNB.OQ,2019-12-31,0.011713917,0.033113917,0.030102608,20.28455285,29.06964104,49.07460469,32.08539965,21.58687943,7.901509952,51.83544304,22.57990843,32.08539965,22.57990843,1720.253,99.731,1.411774934,15.64,2.538262745,0.13409182,25.44999,1.67813489,14.61557933,85.38442067,7.450226652,0.057974612,0.171173842,0.118916829,0.0354583545130869,201912,2.77,0.76,1.73,0.14,0.4385137311668067,ACNB,2019,12,328783058.81,0.235235578309784,328783155.5935042,0.2352355090637852,converged,63.811643981088515,0.0
ACNB.OQ,2020-12-31,-0.253118872,-0.248718872,-0.190747337,18.99807322,27.05251393,60.67753951,35.26196114,20.28455285,29.06964104,49.07460469,32.08539965,35.26196114,32.08539965,2555.362,92.209,0.843434212,14.91,1.529470514,0.121505256,25.44999,1.114744063,22.55444715,77.44555285,7.845949176,0.036084516,0.291229726,0.09983081,0.0316950639218735,202012,4.63,5.01,-1.69,0.01,0.445303856016469,ACNB,2020,12,225945987.99,0.3721169234305847,225946077.47381288,0.3721167760572232,converged,39.42986366212677,0.0
ACNB.OQ,2021-12-31,0.212882737,0.213282737,0.181600346,17.43215031,23.75423574,45.29309847,28.08761638,18.99807322,27.05251393,60.67753951,35.26196114,28.08761638,35.26196114,2786.987,69.902,0.99769054,18.71,1.437059699,0.095294081,19.22291,1.008905854,15.44479785,84.55520215,7.932716363,0.025081567,0.182659345,0.083041556,0.0322655844860371,202112,3.23,-1.62,3.24,0.01,0.2699750289878869,ACNB,2021,12,292840462.52,0.1665794750699812,292840530.3560842,0.1665794364820969,converged,91.63297980058016,0.0
