instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,symbol,year,market_cap,fiscal_date_monthly,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
HTBK.OQ,2018-12-31,-0.284513695,-0.266413695,-0.250154873,21.58687943,13.42227179,77.6182545,34.60001843,22.15799615,15.04601655,71.01921757,33.02974253,34.60001843,33.02974253,3096.562,39369.0,1.335890735,15.0,7.072192998,0.740410393,37.72658,2.647581852,5.747175279,94.25282472,8.038047743,0.012713777,0.06097616,0.713324094,0.0780734467533828,201812,-9.55,-2.33,-1.94,0.19,-6.484513203153427,HTBK,2018,12,HTBK,2018,698492970.0,2018-12-31,0.27479757248476944,698531175.4702108,0.27478254270394753,converged,-9.281663014581842,1.0
HTBK.OQ,2019-12-31,0.031169531,0.052569531,0.049703006,20.28455285,11.13905151,66.91817892,29.61551396,21.58687943,13.42227179,77.6182545,34.60001843,29.61551396,34.60001843,4109.463,39882.0,1.320761012,14.6,6.518250896,0.863506571,37.72658,2.023739185,7.172226765,92.82777323,8.321047642,0.009704918,0.077263803,0.823866394,0.0848623875051041,201912,2.77,0.76,1.73,0.14,2.351222526253983,HTBK,2019,12,HTBK,2019,790270265.0,2019-12-31,0.25245889939783706,790308968.3087695,0.252446535885436,converged,-9.009818059149376,1.0
HTBK.OQ,2020-12-31,-0.324264771,-0.319864771,-0.289718828,18.99807322,6.301510349,73.64039062,29.63608976,20.28455285,11.13905151,66.91817892,29.61551396,29.63608976,29.61551396,4634.114,39740.0,0.919671154,16.5,7.742354661,1.238956586,37.72658,2.073703018,9.058863227,90.94113677,8.441200305,0.008575534,0.099612382,1.166590595,0.1073226558753828,202012,4.63,5.01,-1.69,0.01,5.2269831160034155,HTBK,2020,12,HTBK,2020,546352085.0,2020-12-31,0.4419263082726901,546390650.5055037,0.44189511610011173,converged,-5.016006687328082,0.9999997362175344
HTBK.OQ,2021-12-31,0.308925294,0.309325294,0.293448958,22.77871804,22.7213379,68.48301088,36.69357327,18.99807322,6.301510349,73.64039062,29.63608976,36.69357327,29.63608976,5499.409,39925.0,1.204722277,14.4,1.54372663,1.166699328,28.14853,2.043455807,5.388333756,94.61166624,8.612395911,0.007259871,0.056952107,1.120833772,0.1064430008079106,202112,3.23,-1.62,3.24,0.01,3.5756350781320285,HTBK,2021,12,HTBK,2021,720457653.78,2021-12-31,0.3063220176720312,720496398.8179274,0.30630554505925134,converged,-6.52705652214701,0.9999999999664626
HTBK.OQ,2022-12-31,0.115232218,0.129432218,0.12397285,23.56427534,20.88803179,75.26350093,38.57920542,22.77871804,22.7213379,68.48301088,36.69357327,38.57920542,36.69357327,5157.58,39350.0,1.250814917,14.8,8.220525449,0.998304655,28.06106,3.941534523,5.40118378,94.59881622,8.548222756,0.007629547,0.05709568,0.95891803,0.0960180565435548,202212,-6.37,-0.76,1.35,0.33,-5.702020939987004,HTBK,2022,12,HTBK,2022,791085399.0,2022-12-31,0.304294965334625,791123586.0317457,0.3042802772104168,converged,-6.7316940813828285,0.999999999991615
FRBKQ.PK,2017-12-31,0.042986019,0.050986019,0.049621935,22.15799615,33.12164755,25.58567833,25.63918139,21.15270351,40.02660897,22.92235495,28.10524583,25.63918139,28.10524583,2322.347,21681.0,2.127432873,16.7,7.406563752,1.029745822,31.375235,2.395430458,3.948439054,96.05156095,7.750333591,0.009335814,0.041107495,1.001493761,0.0987006213133537,201712,1.06,-1.32,0.05,0.09,1.1355276243732784,FRBKQ,2017,12,FRBKQ,2017,594972950.0,2017-12-31,0.2195974997677274,594993990.2296134,0.21958973434170787,converged,-10.146047223535748,1.0
FRBKQ.PK,2018-12-31,-0.210395028,-0.192295028,-0.186706179,21.58687943,34.68219933,24.41150344,25.9905121,22.15799615,33.12164755,25.58567833,25.63918139,25.9905121,25.63918139,2753.297,102681.0,1.432052621,15.03,9.75102428,1.152524942,28.26105,3.050013024,2.609472017,97.39052798,7.920554382,0.037293834,0.026793899,1.130789292,0.1083596320469418,201812,-9.55,-2.33,-1.94,0.19,-10.533785736411254,FRBKQ,2018,12,FRBKQ,2018,420353670.0,2018-12-31,0.30565004939070944,420453316.317831,0.30557761114185433,converged,-11.897196319224332,1.0
FRBKQ.PK,2019-12-31,-0.052210206,-0.030810206,-0.028555045,20.28455285,36.14500154,31.22254059,29.16803538,21.58687943,34.68219933,24.41150344,25.9905121,29.16803538,25.9905121,3341.29,11265.0,0.987563165,12.37,6.609785034,0.850378354,20.99961,2.649236998,4.358701133,95.64129887,8.114112239,0.003371452,0.045573421,0.820826007,0.0865365287317421,201912,2.77,0.76,1.73,0.14,2.387686795791044,FRBKQ,2019,12,FRBKQ,2019,294317980.0,2019-12-31,0.2673355180309333,294328912.068936,0.2673255885602401,converged,-4.567744919756254,0.9999975350026754
THFF.OQ,2017-12-31,0.101004066,0.109004066,0.105226774,22.15799615,16.17919148,31.83825212,19.48664973,21.15270351,15.64398135,46.90415245,24.64490963,19.48664973,24.64490963,3000.668,57686.0,1.334082871,17.88,6.801454497,0.910221953,29.63328,1.670993574,3.884271377,96.11572862,8.00659021,0.019224386,0.040412443,0.885053759,0.0905320926447903,201712,1.06,-1.32,0.05,0.09,1.0143193273800828,THFF,2017,12,THFF,2017,533900602.2732,2017-12-31,0.19325460823426024,533956583.394249,0.19323434701837092,converged,-15.239782062987835,1.0
THFF.OQ,2018-12-31,-0.193645924,-0.175545924,-0.158797932,21.58687943,16.89093302,32.42616034,20.0513205,22.15799615,16.17919148,31.83825212,19.48664973,20.0513205,19.48664973,3008.718,69656.0,1.10625665,19.36,8.605323577,1.036009536,29.58445,2.384220528,8.707739689,91.29226031,8.009269353,0.023151389,0.09538311,0.970805809,0.0950553439891454,201812,-9.55,-2.33,-1.94,0.19,-8.857439585402501,THFF,2018,12,THFF,2018,472681575.8826,2018-12-31,0.247599100804268,472749173.2366854,0.2475636971588852,converged,-12.694505273817592,1.0
