instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf_x,smb_x,hml_x,rf_x,WACC_FF,year,beta_mkt,beta_smb,beta_hml,n_obs,beta_merge,mkt_rf,smb,hml,rf,factor_merge,weight_sum,kE_FF
WNEB.OQ,2019-12-31,-0.007448613,0.013951387,0.013951387,21.29806636,21.26641131,45.61498461,27.11548041,21.58687943,12.78253392,52.19298246,25.12961051,27.11548041,25.12961051,2181.476,240.515,1.102271132,13.93,3.087070732,0.20416706,0.2495862,0.0,0.0,1.0,7.687756991,0.110253333,0.0,0.20416706,0.0442916942,201912,2.77,0.76,1.73,0.14,0.02063803501044932,2019,0.0007845717930595,0.0042301734543631,0.0069661903606863,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,1.0,0.02063803501044932
WNEB.OQ,2020-12-31,-0.269222833,-0.264822833,-0.264822833,20.74828207,30.24941865,62.17557636,37.63894922,21.29806636,21.26641131,45.61498461,27.11548041,37.63894922,27.11548041,2365.886,57.85,0.768412327,14.65,2.953686238,0.34030881,0.2495862,0.0,0.0,1.0,7.768907861,0.024451728,0.0,0.34030881,0.0538216167,202012,4.63,5.01,-1.69,0.01,-0.0008773897509123732,2020,0.000133871988921,0.0162003495402449,0.0159317386516208,12,both,0.2359,0.13449999999999998,-0.47,0.0044,both,1.0,-0.0008773897509123732
WNEB.OQ,2021-12-31,0.209773328,0.210173328,0.192404821,18.86779151,24.81238781,57.32216768,33.14965705,20.74828207,30.24941865,62.17557636,37.63894922,33.14965705,37.63894922,2538.425,22.286,0.887267405,14.27,1.564353463,0.416822752,0.2239405,0.02051901318,0.09147266576,0.9085273342000001,7.839299089,0.00877946,0.100682349,0.386614442,0.0552210689383055,202112,3.23,-1.62,3.24,0.01,0.008227548014595201,2021,0.0172694891753515,0.0002157190071959,0.011545977761502,12,both,0.23870000000000002,-0.037200000000000004,0.2545,0.0004,both,0.9999999999600001,0.007452653659390974
WNEB.OQ,2022-12-31,0.115827329,0.130027329,0.120784667,20.8198309,20.09619864,55.36405959,30.6274573,18.86779151,24.81238781,57.32216768,33.14965705,30.6274573,33.14965705,2553.15,62.201,0.921224074,14.2,6.197828497,0.547095694,0.2239405,0.04609017371,0.0980564199,0.9019435801,7.84508317,0.024362454,0.1087168,0.504528287,0.0651071211758023,202212,-6.37,-0.76,1.35,0.33,0.016332936172250154,2022,0.0076134121376446,0.0054002056080785,0.0078350025446202,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,1.0,0.014219940255333532
CZNC.OQ,2018-12-31,-0.14716633,-0.12906633,-0.126612491,21.58687943,14.28497901,66.21030424,30.92105912,22.15799615,7.955284931,71.71471059,29.76311714,30.92105912,29.76311714,1290.893,48.768,1.643237827,24.42,5.142060721,0.397268846,0.2495459,0.025008237489999998,0.01659862523,0.9834013748,7.163089506,0.037778499,0.01687879,0.392299682,0.0571607875658146,201812,-9.55,-2.33,-1.94,0.19,0.016610979110489622,2018,0.0063054878846952,0.0119934667003444,0.0073596432939154,12,both,-0.0682,-0.0323,-0.0962,0.0181,both,1.00000000003,0.016574579066968003
CZNC.OQ,2019-12-31,-0.010882574,0.010517426,0.010645561,20.28455285,15.99451629,71.79560649,33.77969842,21.58687943,14.28497901,66.21030424,30.92105912,33.77969842,30.92105912,1654.145,144.847,1.585135615,20.7,3.680924559,0.316685071,0.24472670000000002,0.01976927107,0.02903076413,0.9709692359000001,7.411039538,0.087566084,0.029898748,0.309691698,0.0510869435965337,201912,2.77,0.76,1.73,0.14,0.018858631587754273,2019,-0.001717046944103,0.0064972028726826,0.0148039005567007,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,1.00000000003,0.018976056795279018
CZNC.OQ,2020-12-31,-0.122363281,-0.117963281,-0.107855183,18.99807322,10.65404293,64.28571429,28.42726244,20.28455285,15.99451629,71.79560649,33.77969842,28.42726244,33.77969842,2239.1,91.183,1.053169119,17.49,3.191791771,0.370387038,0.2426906,0.03997008914,0.06819059922,0.9318094008,7.713829278,0.040723058,0.073180845,0.350937871,0.0541775013330975,202012,4.63,5.01,-1.69,0.01,0.012452210474041513,2020,0.0026453478495827,0.0320218195443399,-0.0038666754837776,12,both,0.2359,0.13449999999999998,-0.47,0.0044,both,1.00000000002,0.011148309763805746
CZNC.OQ,2021-12-31,0.095165012,0.095565012,0.08693967,17.43215031,20.5292711,59.5524112,31.6213865,18.99807322,10.65404293,64.28571429,28.42726244,31.6213865,28.42726244,2327.648,77.555,1.365695429,18.21,1.583918764,0.388322325,0.17189379999999999,0.02135173964,0.11074670510000001,0.8892532948999999,7.752613595,0.033319041,0.124538988,0.352018162,0.052807951085879,202112,3.23,-1.62,3.24,0.01,0.005787573736384164,2021,0.0080311134244789,-0.0042617596207634,0.0071935205295033,12,both,0.23870000000000002,-0.037200000000000004,0.2545,0.0004,both,1.0,0.004306315207074102
CZNC.OQ,2022-12-31,0.029498751,0.043698751,0.043395033,15.8938172,16.65111531,56.61266294,28.63951186,17.43215031,20.5292711,59.5524112,31.6213865,28.63951186,31.6213865,2454.307,181.781,1.422882592,15.72,5.345017244,0.33656214,0.17189379999999999,0.04911305798,0.100305805,0.899694195,7.805599719,0.074066121,0.111488777,0.308115515,0.0522665562269538,202212,-6.37,-0.76,1.35,0.33,0.017632477120980525,2022,-0.0007275317348318,0.0084417474667096,0.0050424660850262,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,1.0,0.015063959590248388
CZNC.OQ,2023-12-31,-0.039029528,0.010470472,0.015065354,14.03688525,12.35773361,59.84449533,27.69312632,15.8938172,16.65111531,56.61266294,28.63951186,27.69312632,28.63951186,2515.584,211.759,1.307525614,15.67,5.370461177,0.425294869,0.17189379999999999,0.05420355523,0.1335107214,0.8664892786,7.830260262,0.084178863,0.15408237,0.377169354,0.0577834217679835,202312,4.85,6.29,4.89,0.43,0.05013780511754834,2023,0.0069533583123842,0.0120913372148399,-0.0024606368705472,12,both,0.2175,-0.034,-0.1405,0.0495,both,1.0,0.05094696944795089
