Total valid regressions: 0
Total insufficient data: 1191
Insufficient data (instrument, year, n_obs):
('FCF.N', 2021, 1)
('FCF.N', 2022, 1)
('FCF.N', 2023, 1)
('FCNCA.OQ', 2016, 1)
('FCNCA.OQ', 2017, 1)
('FCNCA.OQ', 2018, 1)
('FCNCA.OQ', 2019, 1)
('FCNCA.OQ', 2020, 1)
('FCNCA.OQ', 2021, 1)
('FCNCA.OQ', 2022, 1)
('FFBC.OQ', 2016, 1)
('FFBC.OQ', 2017, 1)
('FFBC.OQ', 2018, 1)
('FFBC.OQ', 2019, 1)
('FFBC.OQ', 2020, 1)
('FFBC.OQ', 2021, 1)
('FFBC.OQ', 2022, 1)
('FFBC.OQ', 2023, 1)
('FFIC.OQ', 2017, 1)
('FFIC.OQ', 2018, 1)
('FFIC.OQ', 2019, 1)
('FFIC.OQ', 2020, 1)
('FFIC.OQ', 2021, 1)
('FFIC.OQ', 2022, 1)
('FFIC.OQ', 2023, 1)
('FFIN.OQ', 2016, 1)
('FFIN.OQ', 2017, 1)
('FFIN.OQ', 2018, 1)
('FFIN.OQ', 2019, 1)
('FFIN.OQ', 2020, 1)
('FFIN.OQ', 2021, 1)
('FFIN.OQ', 2022, 1)
('FFIN.OQ', 2023, 1)
('FGBI.OQ', 2018, 1)
('FGBI.OQ', 2019, 1)
('FGBI.OQ', 2020, 1)
('FGBI.OQ', 2021, 1)
('FGBI.OQ', 2022, 1)
('FHN.N', 2016, 1)
('FHN.N', 2017, 1)
('FHN.N', 2018, 1)
('FHN.N', 2019, 1)
('FHN.N', 2020, 1)
('FHN.N', 2021, 1)
('FHN.N', 2022, 1)
('FHN.N', 2023, 1)
('FISI.OQ', 2017, 1)
('FISI.OQ', 2018, 1)
('FISI.OQ', 2019, 1)
('FISI.OQ', 2020, 1)
('FISI.OQ', 2021, 1)
('FISI.OQ', 2022, 1)
('FISI.OQ', 2023, 1)
('FITB.OQ', 2016, 1)
('FITB.OQ', 2017, 1)
('FITB.OQ', 2018, 1)
('FITB.OQ', 2019, 1)
('FITB.OQ', 2020, 1)
('FITB.OQ', 2021, 1)
('FITB.OQ', 2022, 1)
('FLG.N', 2016, 1)
('FLG.N', 2017, 1)
('FLG.N', 2018, 1)
('FLG.N', 2019, 1)
('FLG.N', 2020, 1)
('FLG.N', 2021, 1)
('FLG.N', 2022, 1)
('FLG.N', 2023, 1)
('FLIC.OQ', 2017, 1)
('FLIC.OQ', 2018, 1)
('FLIC.OQ', 2019, 1)
('FMBH.OQ', 2017, 1)
('FMBH.OQ', 2018, 1)
('FMBH.OQ', 2019, 1)
('FMBH.OQ', 2020, 1)
('FMBH.OQ', 2021, 1)
('FMBH.OQ', 2022, 1)
('FMNB.OQ', 2017, 1)
('FMNB.OQ', 2018, 1)
('FMNB.OQ', 2019, 1)
('FMNB.OQ', 2020, 1)
('FMNB.OQ', 2021, 1)
('FMNB.OQ', 2022, 1)
('FMNB.OQ', 2023, 1)
('FNB.N', 2018, 1)
('FNB.N', 2019, 1)
('FNB.N', 2020, 1)
('FNB.N', 2021, 1)
('FNB.N', 2022, 1)
('FNB.N', 2023, 1)
('FNLC.OQ', 2018, 1)
('FNLC.OQ', 2019, 1)
('FNLC.OQ', 2020, 1)
('FNLC.OQ', 2021, 1)
('FNLC.OQ', 2022, 1)
